other_links.entity_id	Full name	First name	Last name	Knowledge Network	SocialPolitical Network	Religious Network	Gender	AuthorEditor Network	Language Network	Column
46832.0	Hermann Georg von Neuhoff	Hermann Georg von	Neuhoff		elite,government,government_leadership,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male		latin	
46833.0	Joachim von Gravenegg	Joachim von	Gravenegg		elite,government,government_leadership,government_major ruling family,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male	Author	latin, german	
46834.0	Johann Weickard von Auersperg	Johann Weickard von	Auersperg		elite,government,government_leadership,nobility	Catholic,Catholic_convert	Male		latin	
46835.0	Duke of Mecklenburg-Güstrow Gustav Adolf	Duke of Mecklenburg-Güstrow	Gustav Adolf		elite,government,government_leadership,government_major ruling family,nobility	Protestant	Male		latin	
46836.0	Prince of the Palatinate Christian August	Prince of the Palatinate	Christian August		elite,government,government_leadership,government_major ruling family,nobility	Catholic,Catholic_convert	Male		latin	
46838.0	da Treviso Leli	da Treviso	Leli			Catholic,Catholic_clergy	Male		italian	
46839.0	Johann Maximilian Lamberg	Johann Maximilian	Lamberg		elite,government,government_leadership,nobility	Catholic	Male		latin, italian	
46840.0	Prince of Valletano	Prince of	Valletano		elite,government,government_leadership,nobility	Catholic	Male		italian	
46841.0	Giovanni Casimiro	Giovanni	Casimiro			Catholic,Catholic_clergy,Catholic_clergy_jesuit	Male		italian	
46842.0	Jean Paul de Lascaris-Castellar	Jean Paul de	Lascaris-Castellar		elite,government,government_leadership	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male		italian	
46843.0	Count of  S. Bonifazio Borso	Count of  S. Bonifazio	Borso		elite,government,government_leadership,nobility	Catholic	Male		italian	
46844.0	[unidentified] Salaresco	[unidentified]	Salaresco				Male		italian	
46845.0	Lazarus von Henckel	Lazarus von	Henckel		elite,government,government_leadership,nobility	Catholic	Male		german	
46846.0	Christoph von Rantzau	Christoph von	Rantzau		elite,government,government_leadership,nobility	Catholic,Catholic_convert	Male		latin, german	
46847.0	Tito Livio Burattini	Tito Livio	Burattini	travel,other	professional,professional_architect,professional_engineer,professional_instrument maker	Catholic	Male	Author	italian, latin	
46850.0	Giacomo Bonvicino	Giacomo	Bonvicino	natural philosophy		Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		italian, latin	
46851.0	Karl Ignaz von Sternberg	Karl Ignaz  von	Sternberg		elite,government,government_leadership,nobility	Catholic	Male		latin	
46852.0	Ottavio Piccolomini-Pieri	Ottavio	Piccolomini-Pieri		elite,government,government_leadership,nobility	Catholic	Male		italian	
46857.0	Francesco Abegra	Francesco	Abegra			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46861.0	Francesco Agricoletti	Francesco	Agricoletti	antiquarianism		Catholic	Male	Author	latin, italian	
46862.0	Karl Gottlieb von Aichpichl	Karl Gottlieb von	Aichpichl		elite,government,government_leadership,nobility	Catholic	Male		latin	
46863.0	Adam Aigenler	Adam	Aigenler	antiquarianism,natural philosophy,other		Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	latin	
46864.0	Bartolomeo Alberti	Bartolomeo	Alberti			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	latin	
46865.0	Franz Albrecht	Franz	Albrecht			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		italian,greek,german	
46866.0	Orazio Albizzi	Orazio	Albizzi		government,government_leadership,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male		italian	
46867.0	Vincenzo Alias	Vincenzo	Alias			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46868.0	James Allestree	James	Allestree		professional,professional_bookseller		Male		italian	
46869.0	Maria Eustachia von Althann	Maria Eustachia von	Althann		elite,government,government_leadership,nobility	Catholic	Female		german	
46870.0	Odoardo  Altham	Odoardo 	Altham		professional,professional_painter	Catholic	Male		italian	
46871.0	Johann Altingh	Johann	Altingh			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46872.0	Johann Ambsterbach	Johann	Ambsterbach				Male		latin	
46873.0	Friedrich Ampringer	Friedrich	Ampringer			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46874.0	Johann Georg Anckel	Johann Georg	Anckel		professional,professional_book agent,professional_librarian	Protestant	Male		german	
46875.0	Alexander Andreas	Alexander	Andreas				Male		latin	
46876.0	François Annat	François	Annat	religion,other		Catholic,Catholic_clergy,Catholic_clergy_jesuit,Catholic_clergy_confessor  	Male	Author	italian	
46879.0	Angelico Aprosi	Angelico	Aprosi	antiquarianism,other		Catholic,Catholic_clergy	Male	Author	italian	
46880.0	Antonio Aradz	Antonio	Aradz			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46881.0	Antonio Arcamone	Antonio	Arcamone			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		italian	
46882.0	Wenzel (Wenceslaus) Ardensbach von Ardensdorff	Wenzel (Wenceslaus)	Ardensbach von Ardensdorff	natural philosophy	professional,professional_physician	Catholic	Male		latin, italian	
46883.0	Alessandro Argoli	Alessandro	Argoli		elite,government,government_leadership	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male		italian	
46886.0	Cristoforo Auria	Cristoforo	Auria				Male		latin	
46887.0	Vincenzo Auria	Vincenzo	Auria	antiquarianism,poetry	professional,professional_lawyer	Catholic	Male	Author	italian	
46888.0	Giovanni Aziccio	Giovanni	Aziccio				Male		latin	
46889.0	Salomon Azubi	Salomon	Azubi			Jewish	Male		latin,hebrew,arabic, hebrew	
46890.0	Giambattista Balatri	Giambattista	Balatri	other	professional,professional_architect	Catholic	Male		italian	
46891.0	Filippo Baldinucci	Filippo	Baldinucci	antiquarianism	professional,professional_curator	Catholic	Male	Author	italian	
46892.0	Baldassare Ballone	Baldassare	Ballone				Male		italian	
46893.0	Johann Balthasar	Johann	Balthasar				Male		latin, italian	
46894.0	Gregorio Barbarigo	Gregorio	Barbarigo		government,government_leadership,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male		italian	
46895.0	Domingo Barboza	Domingo	Barboza			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46896.0	Girolamo Bardi	Girolamo	Bardi			Catholic,Catholic_clergy	Male	Author	italian, latin	
46897.0	Georg Barschius	Georg	Barschius	natural philosophy	professional,professional_alchemist	Catholic	Male		latin	
46898.0	Bertel Bartholin	Bertel	Bartholin	antiquarianism	professional,professional_academic	Protestant	Male	Author	latin	
46900.0	Alexandre Barvoet	Alexandre	Barvoet			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	latin	
46901.0	Chevalier de Beauchamps	Chevalier de	Beauchamps		nobility		Male		italian	
