Author,Recipient,Description,Date,Type of document, Place of Repository,Repository,Call Number,Notes, Language,,,,,,,,,,,,,
"Kircher, Athanasius"," Gravenegg, Joachim von", Letter to Gravenegg, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 329."," Notes: Latin. Dedicatory letter for Syntagma VIII. Obeliscus Heliopolitanus  Qui in hunc diem adhuc iuxta Mataream  Vicum Cayro Aegypti vicinum , Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 329.",Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Gronovius, Johann Fridrich", Letter to Gronovius, 2 November 1652,, Munich, Bayerische Staats- und Universitätsbibliothek,2. Cod Ms. 617 fol. 100r-100v," Notes: Cit. Fletcher, AK und…, p. 153.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Harrach, Ernst Adalbert von",Letter to Harrach, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.506."," Notes: Dedicatory letter for Syntagma XVIII. De Statuis Aegyptiacis Polycharacteristicis id est  toto corpore hieroglyphicorum contextu conspicuis. Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.506.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Hauptmann, August",Letter to Hauptmann, 20 July 1657,Printed copy,,,"Published in A. Hauptmann,  Uhralter Wolckensteinischer warmer Badt- und Wasser-Schatz su unser lieben Frawen auf dem Sande genand, Leipzig 1657, pp. 247-251."," Notes: Cit. Fletcher, AK und…, p.157.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Henckel, Lazarus",Letter to Henckel, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 378."," Notes: Dedicatory letter for Syntagma XII. De fragmentis variorum Obeliscorum  quae in Urbe hodie supersunt. Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 378.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Henschenius, Godefridus",Letter to Henschenius, 2 July 1675,Printed copy,,," Published in J.B. Pitra,  Etudes sur la Collection des Actes des Saints par les RR. PP. Jésuites Bollandistes, Paris 1850, pp. 202-203."," Notes: Cit. Fletcher, AK und…, p.157.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Hevelius, Johann", letter to Hevelius, 14 February 1648,Letter, Paris, Observatoire,Obs. C.1.-1  88," Notes: Cit. Fletcher, AK und…, p.154. Published in J.E. Olhoff, Excerpta, p. 8. C.G. von Murr, ed. Journal  XVII (1789) 312-13.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Hevelius, Johann", Letter to Hevelius, 20 June 1649,Letter, Paris, Bibliothèque Nationale,BN NAL 1635 f.109," Notes: Autograph, Latin,  Published in J.E. Olhoff, Excerpta, p. 17. C.G. von Murr, ed. Journal  XVII (1789) 313-14.",Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Hevelius, Johann", Letter to Hevelius, 17 February 1652,Letter, Paris, Observatoire,Obs. C.1.2. f. 316rv," Notes: Autograph,  waterdamaged. ",,,,,,,,,,,,,,
"Kircher, Athanasius"," Hevelius, Johann", Letter to Hevelius, 22 February 1653,, Berlin, Staatsbibliothek Preußischer Kulturbesitz," Darmstaedter Dokumentensammlung, F. 2.c 1646 (1)",,,,,,,,,,,,,,,
"Kircher, Athanasius"," Hevelius, Johann", Letter to Hevelius, 30 January 1655,, Berlin, Staatsbibliothek Preu√üischer Kulturbesitz," Darmstaedter Dokumentensammlung, F. 2.c 1646 (1)"," Notes: Cit. Fletcher, AK und…, p.154.Published in J.E. Olhoff, Excerpta, p. 17. C.G. von Murr, ed. Journal  XVII (1789) 315.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Hevelius, Johann", Letter to Hevelius, 8 May 1665,Letter, Paris, Bibliothèque Nationale,BN NAL 1640 f. 59rv," Notes: Latin, Autograph . Cit. Fletcher, AK und…, p. 154. Published in J.E. Olhoff, Excerpta",Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Hevelius, Johann", Letter to Hevelius, 8 November 1648,Printed copy,,,"Published in J.E. Olhoff, Excerpta, p.?"," Notes: Cit. Fletcher,  Astronomy and A.K., p. 65.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Hirt, Johann Martin", Letter to Hirt, 7 March 1659,Scribal copy,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 375," Notes: Copy. Cited in Fletcher ""Kircher and Duke August...""p. 285",,,,,,,,,,,,,,
"Kircher, Athanasius"," Holstenius, Lucas", Letter to Holstenius, 24 November 1654,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Barb. Lat. 6499 f. 119r., Notes: consulted. Autograph,,,,,,,,,,,,,,
"Kircher, Athanasius"," Holstenius, Lucas", Letter to Holstenius, 15 October 1655,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Barb. Lat. 6499 f. 120r," Notes: cited in Findlen  ""Scientific spectacle ...""",,,,,,,,,,,,,,
"Kircher, Athanasius"," Holstenius, Lucas", Letter to Holstenius, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.550."," Notes: Dedicatory letter for Anacephalaeosis totius operis. Compare ms. sent to Allacci in Biblioteca Vallicelliana  Carte Allacci CXLVII f. 304rv, Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.550.",,,,,,,,,,,,,,
"Kircher, Athanasius","Johann Friedrich, Duke of Brunswick-Lüneburg",Letter to Johann Friedrich, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 119."," Notes: Dedicatory letter for section entitled ""Sectio III. De Musica Hieroglyphica"" (of Class. VII. Mathematica Hieroglyphica), Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 119.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Kinner, Cyprian",Letter to Kinner, 20 February 1648,Letter, Sheffield, Hartlib Papers,Hartlib Papers 1/33/31B, Notes: From Hartlib Papers CD ROM,,,,,,,,,,,,,,
"Kircher, Athanasius"," Kinner, Cyprian", Letter to Kinner, 7 November 1648,Letter,Wolfenbüttel, Herzog August Bibliothek,HAB Cod. Guelf. 10.5. Aug. 2o  ff. 207r-208r," Notes: Published in Richard van Dülmen,  Ein unbekannter Brief von Athanasius Kircher. Studia Leibnitiana. 1972; 4: pp. 141-145. Copy.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Kinner, Cyprian", Letter to Kinner, 7 November 1648,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 350.1," Notes: Cit. Fletcher, AK und…, p.154.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Kinner von Löwenthurm, Godefrid Alois ", Letter to Kinner von Löwenthurm, 7 August 1661,Printed copy,,," Published in G. Schott,  Organum mathematicum, Würzburg 1668, pp. 57-64."," Notes: Cit. Fletcher, AK und…, p.158.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Kuhlmann, Quirinus",Letter to Kuhlmann, 8 February 1674,Printed copy,,,"Published in Q. Kuhlmann,  Epistola de arte magna sciendi sive combinatoria, Lugduni Batavorum 1674, p. 10-12"," Notes: Cit. Fletcher, AK und…, p.158.",,,,,,,,,,,,,,
"Kuhlmann, Quirinus","Kircher, Athanasius", Letter to Kircher, 19 April 1974,Printed copy,,,"Published in Q. Kuhlmann,  Epistola de arte magna sciendi sive combinatoria, Lugduni Batavorum 1674, p. 17-32.",,,,,,,,,,,,,,,
"Kircher, Athanasius"," Kuhlmann, Quirinus", Letter to Kuhlmann, 18 June 1674,Printed copy,,,"Published in Q. Kuhlmann,  Epistola de arte magna sciendi sive combinatoria, Lugduni Batavorum 1674, p. 38-43.",,,,,,,,,,,,,,,
"Kuhlmann, Quirinus","Kircher, Athanasius", Letter to Kircher,20 April 1681,Printed copy,,,"Published in: Quirinus Kuhlman: Kircheriana de arte magna sciendi sive combinatoria, London 1681, Responsoria p. 9-47.",,,,,,,,,,,,,,,
"Kuhlmann, Quirinus","Kircher, Athanasius", Letter to Kircher, 19 July 1974,Printed copy,,,"Published in: Quirinus Kuhlman: Kircheriana de arte magna sciendi sive combinatoria, London 1681, p. 41-42.",This a PS to the letter from 19 april 1674,,,,,,,,,,,,,,
"Kircher, Athanasius"," La Mare, Philibert de",  Letter to La Mare, 2 March 1654,Letter, Dijon, Bibliothèque Municipale,Ms. 844," Notes: Cit. Fletcher, AK und…, p.154.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Landucci, Ambrosio", Letter to Landucci, undated (c 1663),Letter,Florence, Biblioteca Nazionale Centrale,BNCF Aut. Pal. IV 49-51," Notes: Cit. Fletcher, AK und…, p.154.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 18 February 1660,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 31-33.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 1 March 1669,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 33-37.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 4 May 1669,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 37-38.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 24 Juni 1670,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 38-40.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 9 July 1672,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 42-44.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 13 August 1672,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 44-46.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 19 september 1672,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 47-48.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 9 October 1672,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 48-49.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 3 November 1674,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 50-52.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 29 December 1674,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 53-55.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 6 April 1676,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 59-60..","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 30 July 1675,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 60-61..","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 7 December 1675,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 61-64.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Italian,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 29 March 1676,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 64-68.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 25 April 1676,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 68-70.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 9 July 1676,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 70-73.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, n.d. (1676?),Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 73-77..","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 7 July 1677,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 77-78.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Italian,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 26 February 1678,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 78-83.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 12 September 1678,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 83-84.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 9 November 1678,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 84-87.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 14 January 1679,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 87-89.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Langenmantel,  Hieronymus Ambrosius ", Letter to Langenmantel, 20 January 1680,Printed copy,,,"Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 89-91.","Notes: Published in Langenmantel,   Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684.",Latin,,,,,,,, Call Number: BL 1165.b.15. , Notes: 25 letters. ,,,,
"Kircher, Athanasius"," Leibniz,  Gottfried Wilhelm", Letter to Leibniz, 23 June 1670,Letter, Göttingen, Niedersächsische Staats- und Universitätsbibliothek,Cod. Philos. 138 m. VI.56," Notes: Published in Leibniz, Philosophischer Briefwechsel herausgeben von der Akademie der Wissenschaften der DDR,  Erster Band, 1663-1685, Akademie-Verlag Berlin,  1987. pp. 48-49",,,,,,,,,,,,,,
"Kircher, Athanasius"," Leopold Ignaz,  Archduke of Austria", Letter to Leopold Ignaz, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.257."," Notes: Dedication of Syntagma IV. Obeliscus Sallustius  sive Ludovisius. Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.257.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Leopold Wilhelm, Archduke of Austria", Letter to Leopold Wilhelm, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.79"," Notes: Dedication of Syntagma I. Mensa Isiaca sive Tabula Bembina. Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.79",,,,,,,,,,,,,,
"Kircher, Athanasius"," Leopold Wilhelm, Archduke of Austria", Letter to Leopold Wilhelm,n.d.,Printed copy,,," Published in: P. Lambeck, Commentariorum de augustissima Bibliotheca Caesarea Vindobonensi liber primus, Vienna 1665, I,  90-91. Hannover 1712, I, 90-91."," Notes: Cit. Fletcher, AK und…, p.158.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Lippay, Georg",Letter to Lippay, n.d.,Printed copy,, Biblioteca Apostolica Vaticana,BAV Chigi.S.91," Notes: Dedicatory letter for Classis VIII. Mechanica sive architectonica. Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 279.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Lubienietzki, Stanislas", Letter to Lubienietzki, 8 May 1665,Printed copy,,," Published in S. Lubienietzki,  Theatrum cometicum, Amsterdam 1668, 1666, I 750-751."," Notes: Cit. Fletcher, AK und…, p.158.",,,,,,,,,,,,,,
" Lubienietzki, Stanislas","Kircher, Athanasius", Letter to Kircher, 26 April 1665,Printed copy,,," Published in S. Lubienietzki,  Theatrum cometicum, Amsterdam 1668, 1666, I 750..",,,,,,,,,,,,,,,
" Lubienietzki, Stanislas","Kircher, Athanasius", Letter to Kircher,13 June 1665,Printed copy,,," Published in S. Lubienietzki,  Theatrum cometicum, Amsterdam 1668, 1666, I 751-752.",,,,,,,,,,,,,,,
" Lubienietzki, Stanislas","Kircher, Athanasius", Letter to Kircher, 19 August 1665,Printed copy,,," Published in S. Lubienietzki,  Theatrum cometicum, Amsterdam 1668, 1666, I 755-756.",,,,,,,,,,,,,,,
"Kircher, Athanasius"," Lubienietzki, Stanislas", Letter to Lubienietzki, 25 July 1665,Printed copy,,," Published in S. Lubienietzki,  Theatrum cometicum, Amsterdam 1668, 1666, I 754-755. J.E. Olhoff, excerpta, p. 107."," Notes: Cit. Fletcher, AK und…, p.158.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Maffei, Rafaello",Letter to Maffei, 26 November 1661,Letter, Rome, Biblioteca Apostolica Vaticana,"BAV Autografi Ferrajoli. Raccolta prima VI,  f. 187rv",,,,,,,,,,,,,,,
"Kircher, Athanasius"," Maffei, Rafaello", Letter to Maffei, 24 February 1662,Letter, Rome, Biblioteca Apostolica Vaticana,"BAV Autografi Ferrajoli. Raccolta prima VI,  f. 185r-186v"," Notes: Cit. Findlen,  Scientific spectacle ...Italian,  Autograph. Consulted 22.6.1999",Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Maffei, Rafaello",Letter to Maffei, 12 April 1662,Letter, Rome, Biblioteca Apostolica Vaticana,"BAV Autografi Ferrajoli. Raccolta prima VI,  f. 182r-183v"," Notes: Italian,  Autograph. Cit. Findlen,  Scientific spectacle .... Consulted 22.6.1999",Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Maffei, Rafaello", Letter to Maffei, 27 July 1664,Letter, Rome, Biblioteca Apostolica Vaticana,"BAV Autografi Ferrajoli. Raccolta prima VI,  f. 184r"," Notes: Italian,  Autograph. Cit. Findlen,  Scientific spectacle .... Consulted 22.6.1999",Italian,,,,,,,,,,,,,
"Kircher, Athanasius", Giovanni Carlo de' Medici,"Letter to Medici, Giovannin Carlo", n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.347."," Notes: Latin. Dedicatory letter for Syntagma X. OBELISCUS FLORENTINUS Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.347.",Latin,,,,,,,,,,,,,
