Author,Recipient,Description,Date,Type of document, Place of Repository,Repository,Call Number,Notes, Language,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 15 February 1663,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 385," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 287",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 17 May 1664,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 393," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 288",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 20 June 1664,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 394," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 288",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 5 July 1664,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 395," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 287",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 14 July 1664,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 397," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 288",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 10 January 1665,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 400," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 289",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 29 April 1665,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 404," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 290",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 24 July 1665,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 406," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 290",,,,,,,,,,,,,,
"Kircher, Athanasius",unknown, Letter to unknown,9 October 1655,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 374," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel,12 June 1660,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 377," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius",unknown, Letter to unknown, 21 August 1660,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 378," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius",unknown, Letter to unknown,10 September 1661,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 379," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius",unknown, Letter to unknown, n.d.,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 380," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
